,value,group
1045,13981.0,S
1046,4894.0,S
1047,21789.0,S
1048,17128.0,S
1049,25702.0,S
1050,21355.0,S
1051,13348.0,S
1052,47785.0,S
1053,20594.0,S
1054,41843.0,S
1055,14190.0,S
1056,41452.0,S
1057,13612.0,S
1058,14856.0,S
1059,16484.0,S
1060,70495.0,S
1061,42361.0,S
1062,39569.0,S
1063,19084.0,S
1064,,S
1065,82073.0,S
1066,40889.0,S
1067,16417.0,S
1068,16101.0,S
1069,34397.0,S
1070,18745.0,S
1071,20115.0,S
1072,35557.0,S
1073,34934.0,S
1074,14462.0,S
1075,7411.0,S
1076,8986.0,S
1077,17824.0,S
1078,35905.0,S
1079,16231.0,S
1080,43979.0,S
1081,40725.0,S
1082,24738.0,S
1083,17257.0,S
1084,15132.0,S
1085,9746.0,S
1086,21188.0,S
1087,32344.0,S
1088,43101.0,S
1089,115230.0,S
1090,,S
1091,85056.0,S
1092,16433.0,S
1093,,S
1094,75459.0,S
1095,11549.0,S
1096,15213.0,S
1097,27618.0,S
1098,32968.0,S
1099,43102.0,S
1100,20237.0,S
1101,83795.0,S
1102,14309.0,S
1103,15950.0,S
1104,8930.0,S
1105,12931.0,S
1106,18319.0,S
1107,18141.0,S
1108,15337.0,S
1109,20784.0,S
1110,21846.0,S
1111,18985.0,S
1112,35768.0,S
1113,17385.0,S
1114,22088.0,S
1115,13160.0,S
1116,19638.0,S
1117,25732.0,S
1118,108714.0,S
1119,58039.0,S
1120,30119.0,S
1121,12828.0,S
1122,,S
1123,65360.0,S
1124,59619.0,S
1125,24266.0,S
1126,11467.0,S
1127,10646.0,S
1128,15658.0,S
1129,24190.0,S
1130,66494.0,S
1131,23130.0,S
1132,25370.0,S
1133,2948.0,S
1134,10037.0,S
1135,10952.0,S
1136,29377.0,S
1137,13286.0,S
1138,9383.0,S
1139,40675.0,S
1140,38206.0,S
1141,35861.0,S
1142,18145.0,S
1143,15323.0,S
1144,16691.0,S
1145,8312.0,S
1146,13045.0,S
1147,37725.0,S
1148,25473.0,S
1149,42735.0,S
1150,14072.0,S
1151,,S
1152,35052.0,S
1153,8307.0,S
1154,19726.0,S
1155,23717.0,S
1156,20338.0,S
1157,29710.0,S
1158,18344.0,S
1159,40587.0,S
1160,8201.0,S
1161,12306.0,S
1162,10413.0,S
1163,5307.0,S
1164,6693.0,S
1165,26045.0,S
1166,14017.0,S
1167,12844.0,S
1168,23590.0,S
1169,32427.0,S
1170,30930.0,S
1171,6836.0,S
1172,5306.0,S
1173,14112.0,S
1174,16464.0,S
1175,13334.0,S
1176,59908.0,S
1177,31809.0,S
1178,18504.0,S
1179,6297.0,S
1180,,S
1181,19928.0,S
1182,35474.0,S
1183,11123.0,S
1184,14133.0,S
1185,16376.0,S
1186,48391.0,S
1187,6379.0,S
1188,70347.0,S
1189,8408.0,S
1190,51905.0,S
1191,7544.0,S
1192,24973.0,S
1193,23639.0,S
1194,23126.0,S
1195,64037.0,S
1196,7571.0,S
1197,10296.0,S
1198,36828.0,S
1199,18172.0,S
1200,9771.0,S
1201,26922.0,S
1202,20502.0,S
1203,12356.0,S
1204,12773.0,S
1205,47922.0,S
1206,19882.0,S
1207,14160.0,S
1208,22849.0,S
1209,,S
1210,9864.0,S
1211,12516.0,S
1212,19569.0,S
1213,23901.0,S
1214,18413.0,S
1215,21665.0,S
1216,19575.0,S
1217,40784.0,S
1218,14234.0,S
1219,18475.0,S
1220,8953.0,S
1221,9856.0,S
1222,12630.0,S
1223,11412.0,S
1224,23462.0,S
1225,13409.0,S
1226,23758.0,S
1227,22707.0,S
1228,29802.0,S
1229,12532.0,S
1230,14347.0,S
1231,15335.0,S
1232,66841.0,S
1233,28273.0,S
1234,98356.0,S
1235,77179.0,S
1236,29678.0,S
1237,26552.0,S
1238,,S
1239,45327.0,S
1240,134120.0,S
1241,21907.0,S
1242,18601.0,S
1243,9968.0,S
1244,26110.0,S
1245,15536.0,S
1246,27380.0,S
1247,21860.0,S
1248,28958.0,S
1249,6121.0,S
1250,25659.0,S
1251,15372.0,S
1252,14800.0,S
1253,22913.0,S
1254,6491.0,S
1255,17600.0,S
1256,28133.0,S
1257,20424.0,S
1258,16980.0,S
1259,22193.0,S
1260,9627.0,S
1261,9709.0,S
1262,11867.0,S
1263,33909.0,S
1264,12693.0,S
1265,17924.0,S
1266,38369.0,S
1267,,S
1268,64093.0,S
1269,30644.0,S
1270,33741.0,S
1271,33634.0,S
1272,14826.0,S
1273,16093.0,S
1274,16935.0,S
1275,54660.0,S
1276,15055.0,S
1277,8413.0,S
1278,15778.0,S
1279,18368.0,S
1280,4789.0,S
1281,10438.0,S
1282,12784.0,S
1283,24627.0,S
1284,20922.0,S
1285,11413.0,S
1286,41413.0,S
1287,6697.0,S
1288,9287.0,S
1289,6060.0,S
1290,7164.0,S
1291,20702.0,S
1292,131389.0,S
1293,21197.0,S
1294,21261.0,S
1295,6103.0,S
1296,,S
1297,18093.0,S
1298,25721.0,S
1299,17536.0,S
1300,10400.0,S
1301,7605.0,S
1302,17295.0,S
1303,5366.0,S
1304,41750.0,S
1305,16736.0,S
1306,14189.0,S
1307,4494.0,S
1308,12943.0,S
