author/0/name,author/1/name,author/2/name,author/3/name,author/4/name,author/5/name,citekey,collection,id,journal/name,journal/volume,journal/number,journal/pages,sections/0,sections/1,sections/2,sections/3,summarized,summarizer,title,type,use_image,year,sections/4,booktitle,editor/0/name/name,editor/0/name/ID,editor/1/name/name,editor/1/name/ID,pages,publisher/name,series,volume,organization,address,publisher/address,editor/2/name/name,editor/2/name/ID,howpublished,note,school,number,author/6/name,author/7/name,journal/month,author/0/@pid,author/0/text,author/1/@pid,author/1/text,author/2/@pid,author/2/text,doi,new_paper,url,author/3/@pid,author/3/text,author/4/@pid,author/4/text,author/5/@pid,author/5/text,author/6/@pid,author/6/text
"Shneiderman, Ben","Dunne, Cody","Sharma, Puneet","Wang, Ping",,,shneiderman2012innovation,bibtex,shneiderman2012innovation,Information Visualization,11,2,87--105,hyperbolic,user study,survey,,TRUE,Dhruv,"Innovation trajectories for information visualizations: Comparing treemaps, cone trees, and hyperbolic trees",article,TRUE,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Furnas, George W.",,,,,,DBLP:conf/chi/Furnas86,bibtex,DBLP:conf/chi/Furnas86,,,,,lens,,,,TRUE,Dhruv,Generalized fisheye views,inproceedings,FALSE,1986,,"Proceedings of the SIGCHI Conference on Human Factors in Computing
Systems, CHI 1886, Boston, Massachusetts, USA, April 13-17, 1986","Mantei, Marilyn M.",ManteiMarilynM,"Orbeton, Peter",OrbetonPeter,16--23,ACM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buja, Andreas","McDonald, John Alan","Michalak, J.","Stuetzle, Werner",,,DBLP:conf/visualization/BujaMMS91,bibtex,DBLP:conf/visualization/BujaMMS91,,,,,lens,,,,TRUE,Dhruv,Interactive Data Visualization Using Focusing and Linking,inproceedings,TRUE,1991,,"2nd IEEE Visualization Conference, IEEE Vis 1991, San Diego, CA,
USA, October 22-25, 1991, Proceedings","Nielson, Gregory M.",NielsonGregoryM,"Rosenblum, Lawrence J.",RosenblumLawrenceJ,156--163,IEEE Computer Society Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Becker, Richard A.","Eick, Stephen G.","Wilks, Allan R.",,,,DBLP:journals/tvcg/BeckerEW95,bibtex,DBLP:journals/tvcg/BeckerEW95,IEEE Trans. Vis. Comput. Graph.,1,1,16--28,GD,,,,TRUE,Dhruv,Visualizing Network Data,article,TRUE,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yoghourdjian, Vahan","Archambault, Daniel","Diehl, Stephan","Dwyer, Tim","Klein, Karsten","Purchase, Helen C.",DBLP:journals/corr/abs-1809-00270,bibtex,DBLP:journals/corr/abs-1809-00270,CoRR,abs/1809.00270,,,survey,,,,TRUE,Dhruv,"Exploring the Limits of Complexity: A Survey of Empirical Studies
on Graph Visualisation",article,FALSE,2018,,,,,,,,,,,,,,,,,,,,"Wu, Hsiang-Yun",,,,,,,,,,,,,,,,,,,
"Yang, Menglin","Zhou, Min","Li, Zhihao","Liu, Jiahong","Pan, Lujia","Xiong, Hui",DBLP:journals/corr/abs-2202-13852,bibtex,DBLP:journals/corr/abs-2202-13852,CoRR,abs/2202.13852,,,application,hyperbolic,non-visual,,TRUE,Dhruv,Hyperbolic Graph Neural Networks: A Review of Methods and Applications,article,FALSE,2022,,,,,,,,,,,,,,,,,,,,"King, Irwin",,,,,,,,,,,,,,,,,,,
"Yi, Ji Soo","Kang, Youn ah","Stasko, John T.","Jacko, Julie A.",,,DBLP:journals/tvcg/YiKSJ07,bibtex,DBLP:journals/tvcg/YiKSJ07,IEEE Trans. Vis. Comput. Graph.,13,6,1224--1231,theory,,,,TRUE,Dhruv,"Toward a Deeper Understanding of the Role of Interaction in Information
Visualization",article,TRUE,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shneiderman, Ben",,,,,,DBLP:conf/vl/Shneiderman96,bibtex,DBLP:conf/vl/Shneiderman96,,,,,taxonomy,,,,TRUE,Dhruv,The Eyes Have It: A Task by Data Type Taxonomy for Information Visualizations,inproceedings,TRUE,1996,,"Proceedings of the 1996 IEEE Symposium on Visual Languages, Boulder,
Colorado, USA, September 3-6, 1996",,,,,336--343,IEEE Computer Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,spherical,experiment,small,large,TRUE,Dhruv,Fast Spherical Drawing of Triangulations: An Experimental Study of Graph Drawing Tools.,,TRUE,2018,,,,,,,,,,,,,,,,,,,,,,,42/6663,Luca Castelli Aleardi,221/3388,Gaspard Denis,80/5167,Éric Fusy,10.4230/LIPICS.SEA.2018.24,TRUE,https://dblp.org/rec/conf/wea/AleardiDF18,,,,,,,,
,,,,,,,,,,,,,technique,torus,theory,user study,TRUE,Dhruv,Reading Strategies for Graph Visualizations that Wrap Around in Torus Topology.,,TRUE,2023,,,,,,,,,,,,,,,,,,,,,,,67/9300,Kun-Ting Chen,183/8838,Quynh Quang Ngo,119/8784,Kuno Kurzhals,10.48550/ARXIV.2303.17066,TRUE,https://dblp.org/rec/journals/corr/abs-2303-17066,m/KimMarriott,Kim Marriott,21/6679,Tim Dwyer,80/6465,Michael Sedlmair,w/DanielWeiskopf,Daniel Weiskopf
